BCHFIOMB_00001	CDS	1425	dnaA		COG0593	Chromosomal replication initiator protein DnaA
BCHFIOMB_00002	CDS	1107	dnaN		COG0592	Beta sliding clamp
BCHFIOMB_00003	CDS	2505	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
BCHFIOMB_00004	CDS	825				IS3 family transposase ISXac4
BCHFIOMB_00005	CDS	267				IS3 family transposase ISXac4
BCHFIOMB_00006	CDS	372				hypothetical protein
BCHFIOMB_00007	CDS	426				hypothetical protein
BCHFIOMB_00008	CDS	1299				hypothetical protein
BCHFIOMB_00009	CDS	873				hypothetical protein
BCHFIOMB_00010	CDS	1131	aspC	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
BCHFIOMB_00011	CDS	882	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
BCHFIOMB_00012	CDS	1236	hyuC	3.5.1.87	COG0624	N-carbamoyl-L-amino-acid hydrolase
BCHFIOMB_00013	CDS	717	rspR_1		COG1802	HTH-type transcriptional repressor RspR
BCHFIOMB_00014	CDS	858	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
BCHFIOMB_00015	CDS	828	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
BCHFIOMB_00016	CDS	777	nrtD	7.3.2.4	COG1116	Nitrate import ATP-binding protein NrtD
BCHFIOMB_00017	CDS	1008				hypothetical protein
BCHFIOMB_00018	CDS	996	vldW_1	1.14.11.52		Validamycin A dioxygenase
BCHFIOMB_00019	CDS	1161				hypothetical protein
BCHFIOMB_00020	CDS	1437		3.5.4.32	COG0402	8-oxoguanine deaminase
BCHFIOMB_00021	CDS	1458	araE	1.2.1.26		Alpha-ketoglutaric semialdehyde dehydrogenase 1
BCHFIOMB_00022	CDS	933				hypothetical protein
BCHFIOMB_00023	CDS	444				hypothetical protein
BCHFIOMB_00024	CDS	1815	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
BCHFIOMB_00025	CDS	1257	nhaP		COG0025	Na(+)/H(+) antiporter NhaP
BCHFIOMB_00026	CDS	1749				hypothetical protein
BCHFIOMB_00027	CDS	510	rclR_1		COG2207	RCS-specific HTH-type transcriptional activator RclR
BCHFIOMB_00028	CDS	369				hypothetical protein
BCHFIOMB_00029	CDS	441				hypothetical protein
BCHFIOMB_00030	CDS	624				hypothetical protein
BCHFIOMB_00031	CDS	378			COG3039	IS5 family transposase IS1421
BCHFIOMB_00032	CDS	915	metR			HTH-type transcriptional regulator MetR
BCHFIOMB_00033	CDS	2298	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
BCHFIOMB_00034	CDS	315				hypothetical protein
BCHFIOMB_00035	CDS	822				hypothetical protein
BCHFIOMB_00036	CDS	1260				IS256 family transposase ISEc58
BCHFIOMB_00037	CDS	738				hypothetical protein
BCHFIOMB_00038	CDS	759	artM		COG1126	Arginine transport ATP-binding protein ArtM
BCHFIOMB_00039	CDS	654	yecS_1		COG0765	L-cystine transport system permease protein YecS
BCHFIOMB_00040	CDS	672				hypothetical protein
BCHFIOMB_00041	CDS	795	glnH_1		COG0834	ABC transporter glutamine-binding protein GlnH
BCHFIOMB_00042	CDS	711				hypothetical protein
BCHFIOMB_00043	CDS	336	fdxA_1		COG1146	Ferredoxin-1
BCHFIOMB_00044	CDS	540				hypothetical protein
BCHFIOMB_00045	CDS	1299	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
BCHFIOMB_00046	CDS	1032	yiaO_1		COG1638	2,3-diketo-L-gulonate-binding periplasmic protein YiaO
BCHFIOMB_00047	CDS	1008	vldW_2	1.14.11.52		Validamycin A dioxygenase
BCHFIOMB_00048	CDS	843	aqdA1	3.5.1.-		putative N-octanoylanthranilate hydrolase AqdA1
BCHFIOMB_00049	CDS	741				hypothetical protein
BCHFIOMB_00050	CDS	726				hypothetical protein
BCHFIOMB_00051	CDS	1023	vldW_3	1.14.11.52		Validamycin A dioxygenase
BCHFIOMB_00052	CDS	1104	capA			Capsule biosynthesis protein CapA
BCHFIOMB_00053	CDS	987	yphF		COG1879	ABC transporter periplasmic-binding protein YphF
