PCBHHBLN_00001	CDS	1530	dnaA		COG0593	Chromosomal replication initiator protein DnaA
PCBHHBLN_00002	CDS	1119	dnaN			Beta sliding clamp
PCBHHBLN_00003	CDS	1128	recF		COG1195	DNA replication and repair protein RecF
PCBHHBLN_00004	CDS	2409	gyrB	5.6.2.2		DNA gyrase subunit B
PCBHHBLN_00005	CDS	345				hypothetical protein
PCBHHBLN_00006	CDS	1143				hypothetical protein
PCBHHBLN_00007	CDS	300				hypothetical protein
PCBHHBLN_00008	CDS	207				hypothetical protein
PCBHHBLN_00009	CDS	465	ptsN		COG1762	Nitrogen regulatory protein
PCBHHBLN_00010	CDS	1503	rpoN2		COG1508	RNA polymerase sigma-54 factor 2
PCBHHBLN_00011	CDS	867	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
PCBHHBLN_00012	CDS	972	lptD_1			LPS-assembly protein LptD
PCBHHBLN_00013	CDS	825				hypothetical protein
PCBHHBLN_00014	CDS	1101	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
PCBHHBLN_00015	CDS	621	rnd_1	3.1.13.5		Ribonuclease D
PCBHHBLN_00016	tRNA	87				tRNA-Leu(cag)
PCBHHBLN_00017	CDS	1023				hypothetical protein
PCBHHBLN_00018	CDS	849	uppP_1	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
PCBHHBLN_00019	CDS	1458	gltD	1.4.1.13		Glutamate synthase [NADPH] small chain
PCBHHBLN_00020	CDS	4575	gltB	1.4.1.13		Glutamate synthase [NADPH] large chain
PCBHHBLN_00021	CDS	507	gpx1_1	1.11.1.22		Hydroperoxy fatty acid reductase gpx1
PCBHHBLN_00022	CDS	537				hypothetical protein
PCBHHBLN_00023	CDS	669	fzlA			FtsZ-localized protein A
PCBHHBLN_00024	CDS	393				hypothetical protein
PCBHHBLN_00025	CDS	1146	degQ	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
PCBHHBLN_00026	CDS	540				hypothetical protein
PCBHHBLN_00027	CDS	1344				hypothetical protein
PCBHHBLN_00028	CDS	708	mtgA_1	2.4.1.129	COG0744	Biosynthetic peptidoglycan transglycosylase
PCBHHBLN_00029	CDS	840				hypothetical protein
PCBHHBLN_00030	CDS	327				hypothetical protein
PCBHHBLN_00031	CDS	546				hypothetical protein
PCBHHBLN_00032	CDS	900	gcvA_1			Glycine cleavage system transcriptional activator
PCBHHBLN_00033	CDS	1485				hypothetical protein
PCBHHBLN_00034	CDS	513	ccmH		COG3088	Cytochrome c-type biogenesis protein CcmH
PCBHHBLN_00035	CDS	588	dsbE		COG0526	Thiol:disulfide interchange protein DsbE
PCBHHBLN_00036	CDS	2016	ccmF		COG1138	Cytochrome c-type biogenesis protein CcmF
PCBHHBLN_00037	CDS	462	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
PCBHHBLN_00038	CDS	150				hypothetical protein
PCBHHBLN_00039	CDS	720	ccmC		COG0755	Heme exporter protein C
PCBHHBLN_00040	CDS	669	ccmB		COG2386	Heme exporter protein B
PCBHHBLN_00041	CDS	702	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
PCBHHBLN_00042	CDS	456				hypothetical protein
